Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Ace Killer OG,00046,,X,,X,,,,,3,,,,,,5,4,,2,4,,,2,,4,,,2,,,,,,3,5,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,"White Fire OG,
King's Kush,
Kosher Kush"
White Fire OG,00047,,,X,X,,,,,5,5,,4,,,4,,,5,,,,5,4,4,3,,,,2,,,,,,0.2,1.9,0.3,0.3,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"The White,
Fire OG"
King's Kush,00048,,X,,X,,,,,5,,,,,,5,4,,5,4,,,5,3,5,,,,,,,,,5,3,,2.5,0.5,0.3,0.4,1.9,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,OG Kush
Kosher Kush,00049,,X,,X,,,,,4,3,,,,,5,5,,4,,,,5,4,5,,,,,,,,,2,5,,2.4,0.4,0.4,0.9,1.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,
The White,00050,,,X,X,,,,,5,4,,,,4,5,,,5,,,,5,3,4,,,,,2,,,,,3,0.2,1.7,0.4,,0.8,1.1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,
Zeus OG,00051,,,X,X,,,,,5,5,,,5,,5,,,5,,,,5,,1,,,2,,,,,,4,2,,0.6,0.6,,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,3,,Deadhead OG
SFV OG Kush,00052,,X,,X,,,,,5,,,,,,5,4,,5,3,,,5,2,5,,,2,,,,,,,3,,1.7,,0.4,1.2,1.2,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"SFV OG,
Afghani"
SFV OG,00053,,,X,X,,,,,5,3,,,2,,5,,,4,,,,4,3,5,,3,,,,2,,,,,,1.8,0.3,0.2,0.3,1.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,OG Kush
Ace Of Spades,00054,,X,,X,,,,,5,4,,,,,5,3,,3,,,,5,3,4,,3,,,,,,,,3,,2.5,0.3,0.4,0.4,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,"Jack The Ripper,
Black Cherry Soda"
Zkittlez,00055,,X,,X,,,,,3,2,,,3,,5,,,4,,,,5,4,,,3,,,3,,,,,4,,,,0.4,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Grape Ape,
Grapefruit"
Aceh,00056,X,,,X,,,,,5,,,,5,5,5,,,4,,,,3,3,,,,,5,,,,,5,2,,2.2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,
Afcrack,00057,,,X,X,,,,,4,,,,5,4,4,,,4,,,,4,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"Afgoo,
Green Crack"
Afgoo,00058,,X,,X,,,,,5,4,,,,,5,4,,5,,,,5,3,3,,,,,,,,,3,3,,2.5,0.4,0.2,0.4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,Afghani
Green Crack,00059,X,,,X,,,,,5,4,,5,,4,,,,3,,,,5,4,3,3,2,,,,,,,,,0.4,2.2,0.5,,0.3,1.6,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Skunk No. 1
Afghan Big Bud,00060,,X,,X,,,,,4,5,,,,,2,,2,,,,3,4,3,4,,,,,1,,,,,3,,1,0.2,,,0.6,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,"Big Bud,
Afghani"
Big Bud,00061,,X,,X,,,,,4,2,,,,,5,5,,,3,,,4,2,3,,,,,,,,,2,4,,2.1,0.1,0.2,0.4,1.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Afghani,
Northern Lights,
Skunk No. 1"
Afghan Cow,00062,X,,,X,,,,,,,,,5,5,5,,,5,,,,2,1,,4,,,,,,,,3,,,0.5,0.2,0.1,,0.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ash,
Kali Mist,
AK-47"
Afghan Diesel,00063,,,X,X,,,,,5,,,,5,1,,,,3,,,2,2,3,4,3,3,,,,,,,,,0.1,0.5,0.2,,0.3,0.4,,,,,,,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Afghani,
Sour Diesel"
Afghan Hawaiian,00064,,X,,X,,,,,,,,3,4,,5,5,,,,,,4,3,2,,,,1,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,3,,,,,"UK Cheese,
Lavender"
Warlock,00065,,,X,X,,,,,4,4,,,,3,5,,,,2,,,5,5,3,,,,,,3,,,,1,,1,0.4,0.4,0.5,0.4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,"Skunk No. 1,
Afghani"
Afghan Kush,00066,,X,,X,,,,,3,,,,,,5,4,,3,2,,,5,3,4,,2,,,,,,,,4,,2.2,0.4,0.2,0.7,1.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,Afghani
Afghan Skunk,00067,,X,,X,,,,,5,,,,,,5,4,,,,,5,5,3,3,,,,,,,,,3,4,,2.8,0.2,0.8,0.3,0.7,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,"Afghani,
Skunk No. 1"
Afghan Sour Kush,00068,,X,,X,,,,,,,,1,,,5,5,,5,5,,,,,,4,,,,,,,,5,3,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,"Afghani,
Sour Kush"
Afghani Bullrider,00069,,X,,X,,,,,5,4,,,5,,5,,,4,,,,5,3,3,,,,,,,,,2,4,,2.8,0.6,0.1,0.2,0.9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,Afghani
Afghani CBD,00070,,X,,X,,,,,4,5,,,5,4,,3,,,,,,3,5,3,2,,,,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Afghani
Afghanica,00071,,,X,X,,,,,5,5,5,,,,5,,,5,,,,4,1,3,,,,,2,,,,,2,3.3,1.8,,,0.5,1.3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,Afghani
Afghooey,00072,,X,,X,,,,,5,5,,,,,5,3,,5,3,,,4,3,5,,,3,,,,,,,2,,2.3,0.5,0.4,0.3,1.3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,Afghani
Cambodian,00073,X,,,X,,,,,,5,4,5,,4,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Maui Wowie,00074,X,,,X,,,,,5,5,,5,,,4,,,4,,,,4,4,3,3,1,,,,,,,,,,1.2,0.3,0.4,0.5,0.8,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,Hawaiian
Ash,00075,,,X,X,,,,,3,3,,,,,5,2,,3,,,,5,4,5,,,,4,,,,,4,,1.2,3.3,,0.7,1,2.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Afghan Skunk,
Afghan Haze"
Kali Mist,00076,X,,,X,,,,,5,3,,5,4,3,,,,,,,,4,4,2,3,,2,,,,,,,,0.2,2.8,0.4,,0.3,1.4,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Critical Kali Mist,00077,X,,,X,,,,,5,5,,,,,5,,,5,,4,,1,2,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,"Critical Mass,
Kali Mist"
Bhang Kali Mist,00078,X,,,X,,,,,3,3,,,,,2,,,,2,,,2,2,,,,,,,,,,1,,0.4,1,,0.1,,0.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,Kali Mist
Lavender,00079,,X,,X,,,,,4,2,,,,,5,3,,4,,,,5,2,4,,,,,,,,,2,3,0.2,2.1,0.3,,0.6,1.9,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Super Skunk,
Afghani,
Hawaiian,
South Asian Indica"
Lavender Jones,00080,,,X,X,,,,,5,4,,,,4,5,,,5,,,,4,5,5,,,,,,,,,5,3,0.3,3.3,,,2.4,2.4,,,,,,,,,,,,,,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purple Urkle,
Casey Jones"
White Lavender,00081,,,X,X,,,,,5,4,,,4,,5,,,,,4,,5,4,5,,,,,,3,,,,3,2.5,0.5,0.2,2.5,,1.3,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"White Widow,
Lavender"
Shishkaberry,00082,,X,,X,,,,,3,,,,,,5,4,,3,,,2,4,3,3,,,,,,,,,2,3,,1,0.5,0.3,0.3,0.7,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"DJ Short Blueberry,
Afghani"
Bhang Lavender Kush,00083,,X,,X,,,,,2,,,,,2,5,,,5,,,,3,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lavender
Sour Kush,00084,,,X,X,,,,,5,5,,,4,,5,,,5,,,,5,5,3,2,2,,,,,,,,,1,2,0.3,,0.6,1.3,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"Sour Diesel,
OG Kush"
AK-47,00085,,,X,X,,,,,5,4,,,3,,4,,,4,,,,5,4,3,2,,,,,,,,1,,,1.9,0.5,0.2,0.4,0.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"South American,
Mexican,
Thai,
Afghani"
UK Cheese,00086,,,X,X,,,,,5,4,,,,,5,,,4,,,4,5,4,3,,,,,,,,,2,1,,2.1,0.3,0.2,0.3,1.7,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,Skunk No. 1
Critical Mass,00087,,X,,X,,,,,4,,,,,,5,3,,3,,2,,4,3,5,,,2,,,,,,,3,0.5,2.6,0.7,,0.3,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"Afghani,
Skunk No. 1"
