Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Gupta Kush,01075,,,X,X,,,,,,,,,,,4,4,,,4,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,"Ghost OG,
Blue Moonshine"
Guptilla,01076,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gorilla Glue #4,
Gupta Kush"
Gutbuster,01077,,X,,X,,,,,,,,,3,,3,,,,,,3,3,,3,,,4,,,,,,,3,0.8,,0.8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kimbo Kush,
Cookies and Cream"
Haleigh's Hope,01078,,,X,X,,,,,3,,,,,,5,2,1,1,,,,4,,5,,3,4,,,5,,,,,,1.1,,,,2.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,
Haole,01079,,,X,X,,,,,5,4,,,4,,5,,,4,,,,3,,5,,4,4,,,4,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,"LA Confidential,
Maui Wowie"
Haoma,01080,,X,,X,,,,,2,2,4,,,,5,,,,,,,,5,2,,5,1,,,2,,,,,,0.8,,,,0.8,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,"Mendocino Purps,
Afghani"
Haoma Mist,01081,,,X,X,,,,,2,,,,,,2,4,,,4,5,,2,1,5,,,,,,2,,,4,,,3,,2.8,3.3,3,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Haoma,
Cannatonic"
Hardcore OG,01082,,X,,X,,,,,,,,,,,5,2,,3,3,3,,5,2,4,,,3,,3,,,,,,,0.3,,2,,2.6,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"Big Bud,
DJ Short Blueberry"
Harle-Tsu,01083,,,X,X,,,,,3,3,,,,3,5,,,2,,,,4,3,5,,2,,,,3,,,,,,1.1,,0.3,0.3,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,"Harlequin,
Sour Tsunami"
Harmony,01084,,,X,X,,,,,5,,,,5,,5,,,5,4,,,4,4,4,4,,,,,,,,3,,,4,,,0.3,0.2,,,,,,,,,,,1,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colombian Gold,
Lemon OG Kush,
Lemon Thai"
Harry Potter,01085,,,X,X,,,,,,,,1,3,,4,3,,3,,,,4,,,,,4,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blissful Wizard,
Fire Alien Kush"
Hashbar OG,01086,,X,,X,,,,,1,2,,1,2,,1,,,,,,,1,1,2,,,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Hash Plant,
Face Off OG"
Hashberry,01087,,X,,X,,,,,3,2,,,,,5,3,,3,,,,4,,4,,,2,,,,,,3,3,,3,0.3,,0.1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,North Indian
Hawaiian Cookies,01088,,,X,X,,,,,5,,,,,4,5,,,5,,,,5,1,5,1,4,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,3,,,,,"Hawaiian Snow,
Girl Scout Cookies"
Hawaiian Delight,01089,,X,,X,,,,,,1,,,,,5,,,1,4,,,2,1,2,1,,,,2,,,,,,,1,1,0.5,0.5,0.5,,,,,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Diesel,01090,X,,,X,,,,,5,,4,4,,,5,,,,,,4,4,3,1,,,,,2,,,,1,,,1.7,,,,0.9,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"Hawaiian,
Sour Diesel"
Hawaiian Dream,01091,X,,,X,,,,,4,5,,,,4,4,,,5,,,,5,3,4,,2,,,,,,,2,,0.3,1.1,,,,0.4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,"Blue Dream,
Hawaiian"
Hawaiian Fire,01092,,,X,X,,,,,5,,,4,4,,,,4,5,,,,5,5,1,4,,,,,,,,,1,0.2,4,,4,0.1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,Hawaiian
Hawaiian Punch,01093,X,,,X,,,,,5,3,,,,,5,,,4,,,3,5,1,5,,,,,3,,,,,2,1.9,2,2,,2,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,Hawaiian
Hawaiian Purple Kush,01094,,X,,X,,,,,4,3,,,2,,5,2,,,,,,5,,3,,,,,,,3,,2,4,0.2,3.1,,,0.2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,"Hawaiian,
Purple Kush"
Hawaiian Sativa,01095,X,,,X,,,,,3,4,,2,3,,,,,3,,,,4,4,2,1,2,,,,,,,,,,1.3,0.1,0.3,0.4,0.3,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,Hawaiian
Hawaiian Skunk,01096,,,X,X,,,,,3,2,,,,,3,,,5,,,,4,3,,,2,,,,,,,3,2,,1.2,0.5,0.5,0.3,1.1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,Skunk No. 1
Hawaiian Snow,01097,X,,,X,,,,,5,5,,5,,5,5,,,,,,,5,5,4,4,,,,,,,,,3,1.7,2.8,0.3,,0.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,2,,,,,"Haze,
Nevil's Haze,
Hawaiian Haze"
Hawaiian Sunrise,01098,,,X,X,,,,,,,,,3,,,,,2,,,1,,2,,1,,,,,1,,,2,1,,1,,,,0.7,,,,,,,,,,,1,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian Thunder Fuck,01099,,,X,X,,,,,2,,,,2,,3,,1,2,,,,3,2,2,,,,,,,,,1,2,,1,0.5,0.5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,
Head Cheese,01100,,,X,X,,,,,5,4,,,3,,5,,,4,,,,4,3,3,2,,,,,,,,3,,0.4,0.9,,0.6,,0.9,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Headband,
Cheese"
Head Trip,01101,,,X,X,,,,,3,3,,,,3,5,3,,,,,,5,4,4,,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,Snow Lotus
Headbanger,01102,,,X,X,,,,,5,3,,3,,,5,,,5,,,,5,5,5,,,,,5,,,,5,,,0.9,,0.3,,0.5,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heaven Scent,01103,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"God's Gift,
Green Crack"
Heavy Duty Fruity,01104,,,X,X,,,,,3,2,,,,,4,2,,2,,,,4,3,4,,,,,,,,,3,3,,2.6,,0.1,0.1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,Big Bud
Heisenberg Kush,01105,X,,,X,,,,,5,,,,5,5,3,,,4,,,,3,3,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Blue Dream
Hell Raiser OG,01106,,,X,X,,,,,,,,,,,5,3,3,3,4,,,1,2,1,,,,,,,,,,,,,,0.9,,0.9,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,"Fire OG,
Face Off OG"
Hell's Angel OG,01107,,,X,X,,,,,,3,,,,,5,3,,4,,3,,5,5,5,,,,,3,,,,,3,0.5,0.5,,0.3,0.3,0.4,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Hellfire OG,01108,,,X,X,,,,,3,,,3,3,,4,,,5,,,,5,3,3,,3,,,3,,,,,,,0.6,,,,,,,,,,,,,,,3,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OG Kush,
SFV OG Kush"
Hemlock,01109,,,X,X,,,,,5,3,,,,4,4,,,3,,,,5,4,5,1,,,,,2,,,,,,3.6,,,,3.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Durban Poison,
LA Confidential"
Hempstar,01110,X,,,X,,,,,5,5,,5,,3,,,,4,,,,5,5,,3,,,,2,,,,,2,0.2,1.3,0.5,0.4,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,"Northern Lights #5,
Haze"
Hercules,01111,,,X,X,,,,,2,,,3,,,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irene OG,01112,,,X,X,,,,,,4,,4,,4,5,,,4,,,,3,3,2,,2,,,2,,,,,,,2.8,,,,1,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,OG Kush
Hibiscus Sunrise,01113,,,X,X,,,,,3,,,5,3,3,,,,3,,,,,2,,3,,2,,,2,,,,2,1.5,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higher Power,01114,X,,,X,,,,,4,,,,4,4,2,,,,3,,,,2,,,2,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highwayman,01115,,,X,X,,,,,,,,,,,3,,,,,,,,,,,,,1,1,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,Willy's Wonder
Himalayan Gold,01116,,,X,X,,,,,,1,,,,,5,5,,3,,3,,,,4,1,3,,,,3,,,,5,,1.1,0.4,,0.2,1.1,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,"Nepalese,
North Indian"
Hindu Skunk,01117,,X,,X,,,,,2,,,,,,5,4,,3,2,,,5,4,2,,,,,,,,,4,2,,1.3,0.4,0.3,0.5,1.1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,"Hindu Kush,
Skunk No. 1"
Hippie Chicken,01118,X,,,X,,,,,4,4,,,3,,3,,,5,,,,5,5,5,,,,2,5,,,,,,,1,,,0.5,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,
Hippie Crippler,01119,,,X,X,,,,,4,5,,3,,,,,,5,,3,,4,3,2,,,3,,,,,,4,,,2.2,1.8,,0.1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,"AK-47,
Blue Satellite"
Hog's Breath,01120,,X,,X,,,,,,,,,4,,5,4,,5,,,4,5,5,5,,,,,,,,,4,5,0.2,1,0.4,0.3,,1,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Holland's Hope,01121,,X,,X,,,,,3,,,,,,5,,,3,,,2,5,3,3,,,4,,3,,,,,,,2.2,1,0.5,0.3,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3,,,,,,,,,,
Hollywood OG,01122,,,X,X,,,,,4,3,,,,4,5,,,3,,,,5,2,3,,,,,3,,,,,3,2.2,0.8,,2.4,0.2,0.2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Holy Grail Kush,01123,,,X,X,,,,,4,3,,,,,5,2,,4,,,,5,4,5,,,,,,3,,,,3,0.3,1,0.3,,0.5,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,"OG #18,
Kosher Kush"
Honey Boo Boo,01124,,X,,X,,,,,3,,3,,,,5,4,,,,3,,4,,3,,,3,,,,,,4,4,0.5,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Bubba Kush
Hong Kong,01125,,,X,X,,,,,5,4,,3,,,5,,,3,,,,3,3,3,3,,,2,,,,,,,,1,,,0.7,0.9,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,"Sour Diesel,
Sensi Star"
Hoodwreck,01126,X,,,X,,,,,3,,,2,2,3,,,,3,,,,,3,,5,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Trainwreck,
Purple Diesel"
Huckleberry,01127,,,X,X,,,,,4,3,,,,,5,,,5,3,,,5,3,3,,3,2,,,,,,,,,2.7,1.7,2,2,2.5,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Huckleberry Hound,01128,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chemdawg,
Blueberry"
Humboldt,01129,,,X,X,,,,,5,4,,,,,5,,,5,,,4,4,2,3,,,2,2,,,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Afghani
Humboldt Dream,01130,,X,,X,,,,,,3,,,4,,4,,,4,,,,3,,,,,,,,,,,3,3,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt Headband,01131,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hurkle,01132,,,X,X,,,,,3,,,,,,5,2,,2,3,,,2,1,5,,,4,,,4,,,,,,0.9,,,0.6,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Harlequin,
Querkle"
Hurricane,01133,X,,,X,,,,,5,5,,3,,,3,,,4,,,,5,4,4,2,,,,1,,,,,,1.1,,,,1.1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,LA Confidential
Hustler Kush,01134,,,X,X,,,,,5,3,,,4,,4,,4,,,,,4,4,4,,,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,3,,,,,,,,
Iron Triangle,01135,,,X,X,,,,,2,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-27,01136,X,,,X,,,,,4,4,,5,,1,,,,5,,,,5,4,1,4,,1,,,,,,,,,1,0.3,,0.4,0.4,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,
J's Famous Kush,01137,,,X,X,,,,,,,,,,2,3,,,,3,,,2,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,
J1,01138,,,X,X,,,,,5,5,,5,,4,,,,4,,,,4,5,3,3,,,,2,,,,,,,1.5,0.4,0.2,0.4,1.2,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Jack Herer,
Skunk No. 1"
Jack 47,01139,,,X,X,,,,,4,,,4,,,3,,3,4,,,,,2,,2,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,"Jack Herer,
AK-47"
Jack Diesel,01140,X,,,X,,,,,5,3,,3,,,3,,,3,,,,4,5,4,3,,,,,,,,,2,,1.2,,,0.4,0.4,,,,,,,,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack Herer,
NYC Diesel"
Jack Flash,01141,,,X,X,,,,,5,5,,3,,,4,,,4,,,,4,4,2,2,,,,2,,,,,,,1.3,0.2,0.3,0.3,1.1,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Jack Herer,
Haze,
Super Skunk"
Jack Frost,01142,,,X,X,,,,,5,5,,4,,,4,,,5,,,,5,4,3,3,,,,,,,,2,,,1.3,0.4,0.3,0.3,0.8,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Jack Herer,
White Widow,
Northern Lights #5"
Jack Kush,01143,,,X,X,,,,,5,3,,4,,,5,,,,3,,,5,5,4,,,3,,,5,,,,,0.4,0.7,,0.4,0.4,1.1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,
Jack Skellington,01144,X,,,X,,,,,4,5,,4,5,,4,,,,,,,5,5,4,,3,,3,,,,,,,,1.5,,,0.2,0.4,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Killer Queen,
Jack the Ripper"
Jack Widow,01145,,,X,X,,,,,5,5,,4,4,,,,,4,,,,2,,1,5,5,,,1,,,,,,,2.4,0.1,,0.2,1.6,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,"White Widow,
Jack Herer"
Jack Wreck,01146,X,,,X,,,,,,4,,5,4,5,,,,5,,,,5,3,5,,,,,,,,,1,2,,3,,,,0.3,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Jack Herer,
Trainwreck"
Jackalope,01147,X,,,X,,,,,5,3,,4,,,,,3,4,,,,5,4,,3,3,,2,,,,,,,,1.1,2.3,,2.3,0.6,,,,3,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chocolope,
Black Jack"
Jacked-Up,01148,,,X,X,,,,,1,5,1,5,,,,,,,1,,,2,,,2,,,,,,,,,,,1.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jack Herer,
Timewreck"
Jacky White,01149,X,,,X,,,,,,,,5,,4,4,,3,3,,,,5,3,,3,3,,,4,,,,,,,1.1,0.3,,,0.4,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Jack Herer, White Widow"
Jah Kush,01150,,,X,X,,,,,5,5,,,4,,3,,,4,,,,5,4,4,4,3,,,,,,,,,,1.1,0.1,0.3,0.1,0.6,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
Jamba Juice,01151,,,X,X,,,,,2,2,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Doe,01152,,,X,X,,,,,3,,,,,,3,,,3,,2,1,2,2,3,,,,,1,,,,,1,,2,,,,1,,,1,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine,01153,,,X,X,,,,,3,,,,,,5,3,,5,3,,,5,3,4,,,,,5,,,,3,,,,,,,0.8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,
Jazz,01154,,,X,X,,,,,4,4,,3,,,,,,3,,,,4,2,2,1,1,,,,,,,,,1,2,,,,1,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Jean Guy,01155,,,X,X,,,,,5,4,,,,,3,,3,3,,,,5,3,3,3,,,,,,,,,2,,2.3,0.5,0.3,0.6,2.4,,,,,,,,,,,1,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Widow
Jedi Kush,01156,,X,,X,,,,,3,,,,,,5,3,,4,3,,,5,3,4,,,,,,,,,3,3,,0.9,0.3,0.3,0.4,0.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Death Star,
SFV OG Kush"
Jelly Roll,01157,,X,,X,,,,,3,,,,,,5,,,,,2,,3,,,,,,3,3,,,,,3,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,"God Bud,
Grapefruit"
Jenni,01158,X,,,X,,,,,3,,,1,1,,2,,,3,,,,1,1,3,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,
Jenny Kush,01159,,,X,X,,,,,5,5,,,4,,5,,,4,,,,5,4,4,,3,,,3,,,,,,0.4,0.7,,,0.4,0.4,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Amnesia Haze
Jesus,01160,,,X,X,,,,,,,4,,5,,,3,,,,4,,5,,4,,,4,,4,,,,,3,,,,,0.7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,"White Widow,
Blue Dynamite"
Jesus OG,01161,X,,,X,,,,,5,5,,4,,,4,,,4,,,,5,4,3,,2,,,2,,,,,,0.1,0.6,,0.1,0.2,0.3,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Hells Angel OG,
Jack the Ripper"
Jet Fuel,01162,,,X,X,,,,,4,4,,,,3,5,,,4,,,,5,4,3,,2,,,2,,,,,,,0.8,,,0.4,0.3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,
Jillybean,01163,,,X,X,,,,,5,4,,,3,,3,,,3,,,,5,4,3,3,,,,2,,,,,,0.3,2.2,,0.3,0.4,1.1,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,"Orange Velvet,
Space Queen"
Jimi Hendrix,01164,,,X,X,,,,,5,5,,,5,,,,,5,,4,,5,1,,5,1,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,"Jack Herer,
Headband,
Black Cherry Soda"
Johnny's Tonic,01165,X,,,X,,,,,3,3,,,,5,5,,,3,,,,,,4,,,,,4,5,4,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,Cannatonic
Jolly Rancher,01166,,,X,X,,,,,3,,,2,4,,,,,4,,,2,3,,2,,,,1,,1,,,,2,,0.5,,,,0.5,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Jr,01167,,X,,X,,,,,3,3,,,,,5,3,,3,,,,4,3,5,3,,,,,,,,,3,0.2,0.5,,0.2,0.3,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,
JT15,01168,,X,,X,,,,,2,,,,,,3,2,,,3,,,,2,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juicy Fruit,01169,,,X,X,,,,,5,3,,,3,,4,,,4,,,,5,4,3,3,,,,,,,,3,,,2.5,0.3,0.3,0.8,0.9,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,"Afghani,
Thai"
Juicy Jack,01170,,,X,X,,,,,5,5,1,5,,,,,,1,,,,3,,5,5,5,,,,,,,,1,,0.5,0.5,0.5,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Juicy Fruit,
Jack Herer"
Juliet,01171,,,X,X,,,,,3,3,,3,,,3,,,3,,,,4,4,1,1,,1,,,,,,,,,0.9,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Cinderella 99,
NYC Diesel"
Julius Caesar,01172,,,X,X,,,,,5,3,,,2,,3,,,5,,,,5,3,4,2,,,,2,,,,,,0.3,1.2,,,0.4,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,"Master Kush,
SFV OG Kush"
Jungle Juice,01173,,,X,X,,,,,,,,,3,,,,,2,2,,,2,,,1,3,,,,,,,1,1,,1,,,,0.8,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"Animal Cookies,
Tangie"
Jupiter OG,01174,,X,,X,,,,,3,,,,3,,5,4,,4,,,,3,3,4,,,,,,,,,3,5,,2.5,0.5,0.1,0.4,1,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,OG Kush
K-Train,01175,,X,,X,,,,,4,3,4,,,,5,,,4,,,,4,5,4,,,,,2,,,,,2,,2.6,0.4,0.1,0.4,1,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,"Trainwreck,
OG Kush"
K1,01176,,,X,X,,,,,4,,,,,4,,,3,4,3,,,2,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,
K2,01177,,,X,X,,,,,4,,,,,,5,,,,2,,,5,5,3,,,,,,,2,,,2,0.3,2.8,,,,0.8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,"Hindu Kush,
White Widow"
